parent_code,child_code,hierarchy_level,is_parent,수가코드,행위명_기본,분류코드,분류단계,행위명(한글),행위명(영문),수술여부,상대가치점수,급여여부,페이지,수집일시,병원급이상단가,보건기관단가,본인부담률50/100,본인부담률80/100,본인부담률90/100,의원단가,조산원단가,중복인정여부,치과병의원단가,한방병원단가
AC302,AC302,0,True,AC301,소아 진정관리료-종합병원의치과 급여>기본진료료>소아 진정관리료,가33가,의치과 급여>기본진료료>소아 진정관리료,소아 진정관리료-상급종합병원,,O,457.07,급여,8,2025-08-05T20:50:12.073172,"34,230원",0원,N,N,N,0원,0원,N,0원,0원
AC303,AC303,0,True,AC302,"소아 진정관리료-병원,치과병원,요양병원,한방병원의치과 급여>기본진료료>소아 진정관리료",가33나,의치과 급여>기본진료료>소아 진정관리료,소아 진정관리료-종합병원,,O,434.16,급여,8,2025-08-05T20:51:50.289119,"32,520원",0원,N,N,N,0원,0원,N,0원,0원
AC304,AC304,0,True,AC303,"소아 진정관리료-의원,치과의원,보건의료원의치과 급여>기본진료료>소아 진정관리료",가33다,의치과 급여>기본진료료>소아 진정관리료,"소아 진정관리료-병원,치과병원,요양병원,한방병원",,O,412.47,급여,8,2025-08-05T20:53:28.949254,"30,890원",0원,N,N,N,0원,0원,N,"34,980원","34,980원"
AC410,AC410,0,True,AC410,입원환자 안전관리료-상급종합병원의치과 급여>기본진료료>입원료,가29가,의치과 급여>기본진료료>입원료,입원환자 안전관리료-상급종합병원,,O,24.2,급여,8,2025-08-05T20:55:08.379074,"1,810원",0원,N,N,N,0원,0원,N,0원,0원
AC421,AC421,0,True,AC421,입원환자 안전관리료-종합병원-500병상 이상의치과 급여>기본진료료>입원료,가29나(1),의치과 급여>기본진료료>입원료,입원환자 안전관리료-종합병원-500병상 이상,,O,26.83,급여,8,2025-08-05T20:56:47.344905,"2,010원",0원,N,N,N,0원,0원,N,0원,0원
AC422,AC422,0,True,AC422,입원환자 안전관리료-종합병원-100병상 이상~ 500병상 미만의치과 급여>기본진료료>입원료,가29나(2),의치과 급여>기본진료료>입원료,입원환자 안전관리료-종합병원-100병상 이상~ 500병상 미만,,O,28.35,급여,8,2025-08-05T20:58:27.720698,"2,120원",0원,N,N,N,0원,0원,N,0원,0원
AC430,AC430,0,True,AC430,입원환자 안전관리료-병원의치과 급여>기본진료료>입원료,가29다,의치과 급여>기본진료료>입원료,입원환자 안전관리료-병원,,O,31.4,급여,8,2025-08-05T21:00:06.687323,"2,350원",0원,N,N,N,0원,0원,N,"2,660원","2,660원"
AC600,AC600,0,True,AC600,뇌졸중 집중치료실 전담의의치과 급여>기본진료료>입원료,가3-1가주,의치과 급여>기본진료료>입원료,뇌졸중 집중치료실 전담의,,O,353.68,급여,8,2025-08-05T21:01:46.217102,"26,490원",0원,N,N,N,0원,0원,N,"29,990원","29,990원"
AC611,AC611,0,True,AC600,뇌졸중 집중치료실 입원료-상급종합병원 의치과 급여>기본진료료>입원료,가3-1가주,의치과 급여>기본진료료>입원료,뇌졸중 집중치료실 전담의,,O,353.68,급여,8,2025-08-05T21:03:25.630756,"26,490원",0원,N,N,N,0원,0원,N,"29,990원","29,990원"
AC612,AC612,0,True,AC611,고위험임산부 집중치료실 입원료-상급종합병원의치과 급여>기본진료료>입원료,가3-1가(1),의치과 급여>기본진료료>입원료,뇌졸중 집중치료실 입원료-상급종합병원,Sub-ICU Patient Care-Stroke unit,O,"1,986.23",급여,8,2025-08-05T21:05:05.356973,"148,770원",0원,N,N,N,0원,0원,N,0원,0원
AC621,AC621,0,True,AC612,뇌졸중 집중치료실 입원료-종합병원의치과 급여>기본진료료>입원료,가3-1나(1),의치과 급여>기본진료료>입원료,고위험임산부 집중치료실 입원료-상급종합병원,Sub-ICU Patient Care-High risk pregnancy intensive care unit,O,"2,237.82",급여,8,2025-08-05T21:06:44.865035,"167,610원",0원,N,N,N,0원,0원,N,0원,0원
AC622,AC622,0,True,AC621,고위험임산부 집중치료실 입원료-종합병원 의치과 급여>기본진료료>입원료,가3-1가(2),의치과 급여>기본진료료>입원료,뇌졸중 집중치료실 입원료-종합병원,Sub-ICU Patient Care-Stroke unit,O,"1,700.45",급여,8,2025-08-05T21:08:23.854951,"127,360원",0원,N,N,N,0원,0원,N,0원,0원
AC632,AC632,0,True,AC622,고위험임산부 집중치료실 입원료-병원 의치과 급여>기본진료료>입원료,가3-1나(2),의치과 급여>기본진료료>입원료,고위험임산부 집중치료실 입원료-종합병원,Sub-ICU Patient Care-High risk pregnancy intensive care unit,O,"2,009.62",급여,8,2025-08-05T21:10:03.492864,"150,520원",0원,N,N,N,0원,0원,N,0원,0원
AC711,AC711,0,True,AC711,고위험임산부 집중관리료[1일당]-상급종합병원-6시간 미만의치과 급여>기본진료료>입원료,가3-2가(1),의치과 급여>기본진료료>입원료,고위험임산부 집중관리료[1일당]-상급종합병원-6시간 미만,High risk pregnancy intensive care,O,279.73,급여,8,2025-08-05T21:11:44.042836,"20,950원",0원,N,N,N,0원,0원,N,0원,0원
AC712,AC712,0,True,AC712,고위험임산부 집중관리료[1일당]-상급종합병원-6시간 이상의치과 급여>기본진료료>입원료,가3-2가(2),의치과 급여>기본진료료>입원료,고위험임산부 집중관리료[1일당]-상급종합병원-6시간 이상,High risk pregnancy intensive care,O,419.6,급여,8,2025-08-05T21:13:23.260535,"31,430원",0원,N,N,N,0원,0원,N,0원,0원
AC721,AC721,0,True,AC721,고위험임산부 집중관리료[1일당]-종합병원-6시간 미만의치과 급여>기본진료료>입원료,가3-2나(1),의치과 급여>기본진료료>입원료,고위험임산부 집중관리료[1일당]-종합병원-6시간 미만,High risk pregnancy intensive care,O,251.2,급여,8,2025-08-05T21:15:02.997087,"18,810원",0원,N,N,N,0원,0원,N,0원,0원
AC732,AC732,0,True,AC732,고위험임산부 집중관리료[1일당]-병원-6시간 이상의치과 급여>기본진료료>입원료,가3-2다(2),의치과 급여>기본진료료>입원료,고위험임산부 집중관리료[1일당]-병원-6시간 이상,High risk pregnancy intensive care,O,276.33,급여,9,2025-08-05T21:16:45.064686,"20,700원",0원,N,N,N,0원,0원,N,"23,430원","23,430원"
AC741,AC741,0,True,AC741,고위험임산부 집중관리료[1일당]-의원-6시간 미만의치과 급여>기본진료료>입원료,가3-2라(1),의치과 급여>기본진료료>입원료,고위험임산부 집중관리료[1일당]-의원-6시간 미만,High risk pregnancy intensive care,O,123.67,급여,9,2025-08-05T21:18:23.477012,0원,"10,080원",N,N,N,"10,310원",0원,N,"10,490원",0원
AC742,AC742,0,True,AC742,고위험임산부 집중관리료[1일당]-의원-6시간 이상의치과 급여>기본진료료>입원료,가3-2라(2),의치과 급여>기본진료료>입원료,고위험임산부 집중관리료[1일당]-의원-6시간 이상,High risk pregnancy intensive care,O,185.44,급여,9,2025-08-05T21:20:01.124657,0원,"15,110원",N,N,N,"15,470원",0원,N,"15,730원",0원
AD100,AD100,0,True,AC742,상급종합병원 무균치료실입원료-1인용의치과 급여>기본진료료>입원료,가3-2라(2),의치과 급여>기본진료료>입원료,고위험임산부 집중관리료[1일당]-의원-6시간 이상,High risk pregnancy intensive care,O,185.44,급여,9,2025-08-05T21:21:38.710967,0원,"15,110원",N,N,N,"15,470원",0원,N,"15,730원",0원
AD101,AD101,0,True,AD100,상급종합병원 무균치료실입원료-다인용의치과 급여>기본진료료>입원료,가4가(1),의치과 급여>기본진료료>입원료,상급종합병원 무균치료실입원료-1인용,Aseptic Room Patient Care,O,"6,027.5",급여,9,2025-08-05T21:23:16.411013,"451,460원",0원,N,N,N,0원,0원,N,0원,0원
AD200,AD200,0,True,AD101,종합병원 무균치료실입원료-1인용의치과 급여>기본진료료>입원료,가4가(2),의치과 급여>기본진료료>입원료,상급종합병원 무균치료실입원료-다인용,Aseptic Room Patient Care,O,"3,638.73",급여,9,2025-08-05T21:24:54.568976,"272,540원",0원,N,N,N,0원,0원,N,0원,0원
AD201,AD201,0,True,AD200,종합병원 무균치료실입원료-다인용의치과 급여>기본진료료>입원료,가4나(1),의치과 급여>기본진료료>입원료,종합병원 무균치료실입원료-1인용,Aseptic Room Patient Care,O,"5,479.55",급여,9,2025-08-05T21:26:32.206936,"410,420원",0원,N,N,N,0원,0원,N,0원,0원
AD300,AD300,0,True,AD201,"병원, 치과병원, 한방병원 내 의·치과 무균치료실입원료-1인용의치과 급여>기본진료료>입원료",가4나(2),의치과 급여>기본진료료>입원료,종합병원 무균치료실입원료-다인용,Aseptic Room Patient Care,O,"3,307.93",급여,9,2025-08-05T21:28:09.872910,"247,760원",0원,N,N,N,0원,0원,N,0원,0원
AD301,AD301,0,True,AD300,"병원, 치과병원, 한방병원 내 의·치과 무균치료실입원료-다인용의치과 급여>기본진료료>입원료",가4다(1),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 무균치료실입원료-1인용",Aseptic Room Patient Care,O,"3,372.03",급여,9,2025-08-05T21:29:47.560967,"252,570원",0원,N,N,N,0원,0원,N,"285,950원","285,950원"
AD400,AD400,0,True,AD301,"의원, 치과의원, 보건의료원 내 의·치과 무균치료실입원료-1인용의치과 급여>기본진료료>입원료",가4다(2),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 무균치료실입원료-다인용",Aseptic Room Patient Care,O,"2,035.65",급여,9,2025-08-05T21:31:25.889211,"152,470원",0원,N,N,N,0원,0원,N,"172,620원","172,620원"
AD401,AD401,0,True,AD400,"의원, 치과의원, 보건의료원 내 의·치과 무균치료실입원료-다인용의치과 급여>기본진료료>입원료",가4라(1),의치과 급여>기본진료료>입원료,"의원, 치과의원, 보건의료원 내 의·치과 무균치료실입원료-1인용",Aseptic Room Patient Care,O,"3,372.03",급여,9,2025-08-05T21:33:04.272591,0원,"274,820원",N,N,N,"281,230원",0원,N,"285,950원",0원
AE100,AE100,0,True,AE100,회송료의치과 급여>기본진료료>기타,가5,의치과 급여>기본진료료>기타,회송료,Transfer Service,O,151.62,급여,9,2025-08-05T21:34:41.872662,"11,360원",0원,N,N,N,0원,0원,N,"12,860원","12,860원"
AF100,AF100,0,True,AF100,낮병동입원료-상급종합병원의치과 급여>기본진료료>입원료,가6가,의치과 급여>기본진료료>입원료,낮병동입원료-상급종합병원,Day Care,O,561.44,급여,9,2025-08-05T21:36:20.471024,"42,050원",0원,N,N,N,0원,0원,N,0원,0원
AF200,AF200,0,True,AF200,낮병동입원료-종합병원의치과 급여>기본진료료>입원료,가6나,의치과 급여>기본진료료>입원료,낮병동입원료-종합병원,Day Care,O,495.54,급여,9,2025-08-05T21:37:58.205101,"37,120원",0원,N,N,N,0원,0원,N,0원,0원
AF300,AF300,0,True,AF300,"낮병동입원료-병원, 치과병원, 한방병원 내 의·치과의치과 급여>기본진료료>입원료",가6다,의치과 급여>기본진료료>입원료,"낮병동입원료-병원, 치과병원, 한방병원 내 의·치과",Day Care,O,427.33,급여,9,2025-08-05T21:39:35.908932,"32,010원",0원,N,N,N,0원,0원,N,"36,240원","36,240원"
AF400,AF400,0,True,AF400,"낮병동입원료-의원,치과의원,보건의료원 의·치과의치과 급여>기본진료료>입원료",가6마,의치과 급여>기본진료료>입원료,"낮병동입원료-의원,치과의원,보건의료원 의·치과",Day Care,O,358.86,급여,9,2025-08-05T21:41:14.372348,0원,"29,250원",N,N,N,"29,930원",0원,N,"30,430원",0원
AG111,AG111,0,True,AF400,신생아실 입원료-질병이 없는 신생아-상급종합병원의치과 급여>기본진료료>입원료,가6마,의치과 급여>기본진료료>입원료,"낮병동입원료-의원,치과의원,보건의료원 의·치과",Day Care,O,358.86,급여,9,2025-08-05T21:42:53.004966,0원,"29,250원",N,N,N,"29,930원",0원,N,"30,430원",0원
AG112,AG112,0,True,AG111,모자동실입원료-상급종합병원의치과 급여>기본진료료>입원료,가7가(1)(가),의치과 급여>기본진료료>입원료,신생아실 입원료-질병이 없는 신생아-상급종합병원,Neonatal Care,O,"1,284.62",급여,9,2025-08-05T21:44:31.066062,"96,220원",0원,N,N,N,0원,0원,N,0원,0원
AG113,AG113,0,True,AG112,신생아모유수유간호관리료-상급종합병원의치과 급여>기본진료료>입원료,가7나(1),의치과 급여>기본진료료>입원료,모자동실입원료-상급종합병원,Neonatal Care,O,"1,717.79",급여,9,2025-08-05T21:46:09.384864,"128,660원",0원,N,N,N,0원,0원,N,0원,0원
AG121,AG121,0,True,AG113,신생아실 입원료-질병이 있는 신생아-상급종합병원의치과 급여>기본진료료>입원료,가7다(1),의치과 급여>기본진료료>입원료,신생아모유수유간호관리료-상급종합병원,Neonatal Care,O,425.57,급여,9,2025-08-05T21:47:47.497110,"31,880원",0원,N,N,N,0원,0원,N,0원,0원
AX100,AX100,0,True,AX100,가정간호교통비[1회방문당]의치과 100/100>기본진료료>가정간호,교통비,의치과 100/100>기본진료료>가정간호,가정간호교통비[1회방문당],,O,108.3,급여,10,2025-08-05T21:49:28.630234,"8,110원","8,830원",N,N,N,"9,030원",0원,N,"9,180원","9,180원"
AX900,AX900,0,True,AX900,의료급여-가정간호교통비[1회방문당]의치과 100/100>의료급여>가정간호,의료급여,의치과 100/100>의료급여>가정간호,의료급여-가정간호교통비[1회방문당],,O,,급여,10,2025-08-05T21:51:06.121008,"6,000원","6,000원",N,N,N,"6,000원",0원,N,"6,000원","6,000원"
AY100,AY100,0,True,AX900,응급의료에관한법률에 따른 의료기관 등이 운용하는 일반구급차 이송처치료 기본요금(10km이내)의치과 100/100>응급의료수가>이송처치료,의료급여,의치과 100/100>의료급여>가정간호,의료급여-가정간호교통비[1회방문당],,O,,급여,10,2025-08-05T21:52:43.673116,"6,000원","6,000원",N,N,N,"6,000원",0원,N,"6,000원","6,000원"
AY101,AY101,0,True,AY100,응급의료에관한법률에 따른 의료기관 등이 운용하는 일반구급차 이송처치료 추가요금(10km초과 1km당)의치과 100/100>응급의료수가>이송처치료,응급의료(거100가),의치과 100/100>응급의료수가>이송처치료,응급의료에관한법률에 따른 의료기관 등이 운용하는 일반구급차 이송처치료 기본요금(10km이내),,O,,급여,10,2025-08-05T21:54:21.255039,"30,000원","30,000원",N,N,N,"30,000원",0원,N,"30,000원","30,000원"
AY102,AY102,0,True,AY102,"응급의료에관한법률에따른 의료기관 등이 운용 일반구급차이송처치료부가요금(의사,간호사,응급구조사탑승)의치과 100/100>응급의료수가>이송처치료",응급의료(거100),의치과 100/100>응급의료수가>이송처치료,"응급의료에관한법률에따른 의료기관 등이 운용 일반구급차이송처치료부가요금(의사,간호사,응급구조사탑승)",,O,,급여,10,2025-08-05T21:55:58.774753,"15,000원","15,000원",N,N,N,"15,000원",0원,N,"15,000원","15,000원"
AY110,AY110,0,True,AY102,응급의료에관한법률에 따른 비영리법인이 운용하는 일반구급차 이송처치료 기본요금(10km이내)의치과 100/100>응급의료수가>이송처치료,응급의료(거100),의치과 100/100>응급의료수가>이송처치료,"응급의료에관한법률에따른 의료기관 등이 운용 일반구급차이송처치료부가요금(의사,간호사,응급구조사탑승)",,O,,급여,10,2025-08-05T21:57:36.309020,"15,000원","15,000원",N,N,N,"15,000원",0원,N,"15,000원","15,000원"
AY111,AY111,0,True,AY110,응급의료에관한법률에 따른 비영리법인이 운용하는 일반구급차 이송처치료 추가요금(10km초과 1km당)의치과 100/100>응급의료수가>이송처치료,응급의료(거110가),의치과 100/100>응급의료수가>이송처치료,응급의료에관한법률에 따른 비영리법인이 운용하는 일반구급차 이송처치료 기본요금(10km이내),,O,,급여,10,2025-08-05T21:59:15.224488,"20,000원","20,000원",N,N,N,"20,000원",0원,N,"20,000원","20,000원"
AY112,AY112,0,True,AY112,"응급의료에관한법률에따른 비영리법인이 운용 일반구급차이송처치료부가요금(의사,간호사,응급구조사탑승)의치과 100/100>응급의료수가>이송처치료",응급의료(거110),의치과 100/100>응급의료수가>이송처치료,"응급의료에관한법률에따른 비영리법인이 운용 일반구급차이송처치료부가요금(의사,간호사,응급구조사탑승)",,O,,급여,10,2025-08-05T22:00:52.758934,"10,000원","10,000원",N,N,N,"10,000원",0원,N,"10,000원","10,000원"
AY200,AY200,0,True,AY112,응급의료에관한법률에 따른 의료기관 등이 운용하는 특수구급차 이송처치료 기본요금(10km이내)의치과 100/100>응급의료수가>이송처치료,응급의료(거110),의치과 100/100>응급의료수가>이송처치료,"응급의료에관한법률에따른 비영리법인이 운용 일반구급차이송처치료부가요금(의사,간호사,응급구조사탑승)",,O,,급여,10,2025-08-05T22:02:30.276564,"10,000원","10,000원",N,N,N,"10,000원",0원,N,"10,000원","10,000원"
AY201,AY201,0,True,AY200,응급의료에관한법률에 따른 의료기관 등이 운용하는 특수구급차 이송처치료 추가요금(10km초과 1km당)의치과 100/100>응급의료수가>이송처치료,응급의료(거200가),의치과 100/100>응급의료수가>이송처치료,응급의료에관한법률에 따른 의료기관 등이 운용하는 특수구급차 이송처치료 기본요금(10km이내),,O,,급여,10,2025-08-05T22:04:07.853122,"75,000원","75,000원",N,N,N,"75,000원",0원,N,"75,000원","75,000원"
AY210,AY210,0,True,AY201,응급의료에관한법률에 따른 비영리법인이 운용하는 특수구급차 이송처치료 기본요금(10km이내)의치과 100/100>응급의료수가>이송처치료,응급의료(거200나),의치과 100/100>응급의료수가>이송처치료,응급의료에관한법률에 따른 의료기관 등이 운용하는 특수구급차 이송처치료 추가요금(10km초과 1km당),,O,,급여,10,2025-08-05T22:05:45.397401,"1,300원","1,300원",N,N,N,"1,300원",0원,N,"1,300원","1,300원"
AY211,AY211,0,True,AY210,응급의료에관한법률에 따른 비영리법인이 운용하는 특수구급차 이송처치료 추가요금(10km초과 1km당)의치과 100/100>응급의료수가>이송처치료,응급의료(거210가),의치과 100/100>응급의료수가>이송처치료,응급의료에관한법률에 따른 비영리법인이 운용하는 특수구급차 이송처치료 기본요금(10km이내),,O,,급여,10,2025-08-05T22:07:23.406278,"50,000원","50,000원",N,N,N,"50,000원",0원,N,"50,000원","50,000원"
